"1, 5, 10, 14, 23, 24, 38"
"2, 4, 9, 24, 25, 27, 45"
"3, 1, 5, 11, 32, 40, 45"
"4, 19, 36, 39, 41, 46, 51"
"5, 10, 11, 19, 41, 50, 54"
"6, 6, 16, 20, 32, 38, 51"
"7, 7, 11, 19, 32, 33, 51"
"8, 11, 12, 20, 30, 32, 34"
"9, 7, 11, 13, 15, 26, 51"
"10, 10, 24, 31, 32, 38, 44"
"11, 5, 16, 18, 37, 42, 46"
"12, 17, 25, 30, 31, 36, 41"
"13, 4, 12, 15, 23, 24, 41"
"14, 8, 20, 27, 35, 36, 47"
"15, 5, 9, 11, 18, 19, 37"
"16, 1, 2, 8, 13, 23, 39"
"17, 4, 18, 22, 31, 32, 40"
"18, 1, 15, 23, 36, 43, 54"
"19, 6, 10, 12, 47, 48, 51"
"20, 22, 23, 32, 43, 44, 51"
"21, 9, 12, 21, 26, 29, 52"
"22, 3, 32, 36, 41, 44, 53"
"23, 9, 12, 16, 24, 43, 51"
"24, 7, 8, 27, 36, 44, 53"
"25, 14, 15, 18, 30, 36, 49"
"26, 20, 27, 28, 31, 39, 47"
"27, 4, 17, 23, 25, 34, 46"
"28, 21, 31, 35, 41, 46, 50"
"29, 1, 3, 14, 19, 35, 41"
"30, 31, 34, 40, 42, 43, 49"
"31, 29, 33, 43, 44, 45, 50"
"32, 5, 8, 11, 31, 37, 42"
"33, 14, 18, 29, 35, 44, 49"
"34, 1, 26, 36, 40, 50, 54"
"35, 6, 15, 17, 24, 40, 45"
"36, 4, 9, 13, 16, 18, 49"
"37, 1, 2, 9, 13, 32, 35"
"38, 2, 10, 15, 30, 34, 50"
"39, 13, 18, 35, 36, 41, 48"
"40, 7, 13, 24, 45, 47, 52"
"41, 3, 9, 12, 21, 51, 52"
"42, 2, 8, 12, 44, 46, 52"
"43, 19, 32, 36, 37, 42, 54"
"44, 2, 3, 6, 23, 34, 36"
"45, 12, 26, 33, 35, 36, 44"
"46, 20, 24, 29, 41, 47, 49"
"47, 1, 16, 22, 25, 47, 48"
"48, 11, 12, 26, 42, 50, 54"
"49, 5, 8, 23, 37, 38, 54"
"50, 1, 2, 3, 18, 25, 50"
"51, 2, 9, 16, 46, 52, 55"
"52, 2, 19, 39, 49, 51, 53"
"53, 5, 13, 26, 37, 53, 55"
"54, 9, 37, 45, 50, 53, 54"
"55, 27, 38, 40, 42, 46, 55"
"56, 3, 14, 26, 35, 44, 54"
"57, 5, 34, 35, 42, 49, 52"
"58, 6, 7, 8, 21, 32, 39"
"59, 11, 12, 22, 28, 46, 50"
"60, 5, 23, 37, 41, 43, 53"
"61, 2, 3, 20, 25, 38, 44"
"62, 22, 23, 27, 35, 37, 46"
"63, 7, 8, 9, 13, 28, 44"
"64, 7, 11, 13, 18, 26, 42"
"65, 7, 18, 26, 29, 31, 35"
"66, 8, 9, 36, 37, 39, 50"
"67, 4, 7, 8, 34, 37, 47"
"68, 1, 7, 31, 35, 46, 55"
"69, 4, 11, 24, 35, 41, 45"
"70, 18, 25, 28, 46, 50, 51"
"71, 4, 7, 30, 35, 37, 45"
"72, 3, 21, 25, 26, 51, 55"
"73, 6, 27, 33, 41, 42, 49"
"74, 12, 24, 28, 30, 36, 39"
"75, 2, 7, 15, 16, 41, 45"
"76, 3, 10, 15, 23, 41, 53"
"77, 1, 10, 30, 44, 45, 50"
"78, 21, 26, 36, 38, 40, 50"
"79, 15, 19, 24, 51, 53, 55"
"80, 1, 7, 8, 9, 39, 43"
"81, 12, 29, 42, 48, 54, 55"
"82, 1, 20, 29, 31, 43, 53"
"83, 21, 22, 29, 37, 41, 50"
"84, 8, 10, 19, 25, 36, 46"
"85, 9, 25, 26, 30, 42, 54"
"86, 16, 22, 28, 29, 35, 43"
"87, 1, 2, 21, 24, 50, 52"
"88, 11, 14, 32, 36, 42, 48"
"89, 5, 7, 24, 32, 45, 49"
"90, 8, 16, 23, 28, 44, 49"
"91, 4, 5, 7, 17, 20, 38"
"92, 4, 10, 32, 37, 47, 52"
"93, 2, 6, 13, 22, 40, 48"
"94, 14, 17, 18, 23, 41, 52"
"95, 9, 20, 27, 31, 48, 49"
"96, 1, 2, 17, 46, 47, 49"
"97, 15, 20, 23, 28, 39, 49"
"98, 3, 14, 28, 35, 50, 52"
"99, 11, 40, 43, 46, 49, 55"
"100, 1, 8, 24, 33, 34, 41"
"101, 1, 30, 38, 45, 48, 50"
"102, 9, 13, 14, 15, 54, 55"
"103, 5, 27, 35, 39, 46, 52"
"104, 3, 7, 31, 43, 51, 53"
"105, 20, 21, 39, 42, 51, 53"
"106, 7, 9, 17, 25, 31, 32"
"107, 12, 24, 33, 34, 36, 53"
"108, 1, 22, 25, 31, 36, 48"
"109, 4, 29, 35, 37, 42, 54"
"110, 2, 10, 14, 26, 45, 54"
"111, 2, 10, 26, 27, 31, 38"
"112, 4, 17, 19, 35, 49, 55"
"113, 16, 18, 41, 43, 46, 55"
"114, 17, 18, 24, 40, 41, 46"
"115, 23, 26, 29, 31, 36, 54"
"116, 12, 19, 22, 29, 32, 46"
"117, 1, 7, 20, 23, 25, 38"
"118, 23, 27, 33, 37, 39, 49"
"119, 16, 32, 33, 37, 40, 48"
"120, 3, 16, 23, 24, 38, 42"
"121, 2, 6, 8, 34, 39, 43"
"122, 1, 9, 26, 38, 54, 55"
"123, 3, 6, 29, 37, 44, 49"
